locus_tag,FM18_CH3OH_4.1/day,FM18_CH3OH_4.1/day_R1,FM20_no-lim_5.2/day,FM20_no-lim_5.2/day_R1,FM21_no-lim_5.4/day,FM21_no-lim_5.4/day_R1,FM21_no-lim_5.4/day_R2,FM12_CH4-lim_3.0/day,FM12_CH4-lim_3.0/day_R1,FM14_CH4-lim_3.0/day,FM14_CH4-lim_3.0/day_R1,FM19_O2-lim_3.5.day,FM19_O2-lim_3.5.day_R1,FM19_O2-lim_3.5.day_R2,FM22_O2-lim_4.2/day,FM22_O2-lim_4.2/day_R1,FM22_O2-lim_4.2/day_R2,FM34_-Cu_2.7/day_t0,FM40_-Cu_2.9/day_t0m,FM40_+Cu_2.9/day_t10m,FM40_+Cu_2.9/day_t20m,FM40_+Cu_2.9/day_t40m,FM40_+Cu_2.9/day_t60m,FM40_+Cu_2.9/day_t90m,FM40_+Cu_2.9/day_t180m,FM34_+Cu_2.7/day_t180m,FM34_+Cu_2.7/day_t240m,FM34_+Cu_2.7/day_t300m,FM34_+Cu_2.7/day_t360m,FM34_+Cu_2.7/day_t420m,FM34_+Cu_2.7/day_t480m,FM69_O2-lim+_0.7/day_t2,FM69_?-lim_0.7/day_t3,FM69_?-lim_0.7/day_t3_R1,FM69_?-lim_0.7/day_t4,FM69_?-lim_0.7/day_t4_R2,FM80_O2-lim_0.7/day_t2,FM80_O2-lim_0.7/day_t4,FM81_O2-lim+_0.7/day_t1,FM81_O2-lim_0.7/day_t2
MBURv2_100001,0.1923903401260736,0.3990557524555234,0.22604392032395904,0.03191931150897709,-0.2592121976032802,0.02421802073846191,-0.37593934699926823,-0.6621379852811522,-0.6649623929026172,-0.3407407786875174,-0.3366300052871791,-0.3909556695193128,-0.5991708367371276,-0.5915242510573835,-0.4549471858099352,0.015632342673543853,-0.22903732394905507,-0.3530531317973047,-0.21097533520935485,-0.5210375296681589,-0.5148111761399239,-0.4323489792322217,-0.3263003665941753,-0.46261922255645427,-0.3923726123047375,-0.39709982915345865,-0.6256748507989753,-0.35398039337444853,-0.2172390826727355,-0.14583124379169377,-0.16951972641119006,-0.7146888207174937,0.3750984132688364,0.2303050650386016,0.045003000858251596,-0.026447986166449944,-0.13641827073950896,-0.23929498289240758,-0.4008203558867649,-0.3131837570336957
MBURv2_100002,-0.40564944700983663,-0.30995985986538255,-0.5813434324142253,-1.050033095754896,-1.2358376892294713,-0.5290276682144746,-1.1614965141931677,-1.2746544891663936,-1.2438654414351906,-1.7156388871131472,-2.215570619050397,-0.49342067410889845,-0.865134573609593,-0.6620424658064974,-1.293836852325458,-0.5526392936169962,-1.1970718645415408,-2.09226898189391,-1.2374731373864307,-1.366295017175088,-2.2264920303806592,-1.6581555896327043,-2.115298855044595,-1.6708674615726324,-1.9017903860414807,-2.785054090404534,-2.448031936195826,-2.024334385326249,-3.203094900352466,-0.8727687641098623,-2.7172544316990352,-2.980652557589959,-0.2028796967049158,-2.4239292615499224,-0.40470623204336853,-1.477967376194992,-1.1357699309034617,-1.2514088669068277,-1.3234823470793011,-1.3843613890446393
MBURv2_10001,-0.3498182148086082,-0.4321586787435212,-0.7488174308433493,-1.1265189405882667,-1.1765467550323754,-0.9745328434087925,-1.1573180473017501,-1.812235249259091,-1.77442814200429,-1.7245504196621741,-1.778432744882874,-1.7517448419280823,-2.1269359545868705,-2.1113562953900153,-1.716258414406735,-1.6748381124951344,-1.7599339903740177,-3.3462930122794683,-1.78695305129816,-1.2280016247818857,-1.513252847178217,-1.5902515251309008,-1.9585855235849348,-2.1099233857907116,-2.774992632486108,-2.7171500259027304,-1.4415284163581648,-2.9564303208244453,-2.3982252416844556,-2.5418302937742645,-2.8192753686395435,-2.497710993809311,-1.4284753187639563,-1.2405479796281824,-1.3455723771692965,-1.4100633116931887,-2.228330538594904,-1.9435540096842714,-2.6844215813813714,-2.4039201657931746
MBURv2_10002,-0.42926812819304505,0.6442198235769112,0.5730519427121807,0.23223347545353512,-0.060840923153762994,0.3955599431262877,-0.09719064166533808,-1.3250587437125363,-1.769956151138615,-0.5777137076416992,-0.5668980314968035,-0.10151355171315757,-0.5057187276812094,-0.604119702085054,-0.6863803404603681,0.15842667811476385,-0.3554190393179697,0.3429222382306314,-0.10090706780437131,-0.1337329635655644,-0.2809432455393699,0.05108302904804862,-0.3230757390767751,0.11796071316660939,0.14098624376488722,0.32093579992046717,-0.2561118670836482,-0.012495932692555556,0.4185094440029564,-0.03252413327909931,0.18788262880673923,-0.25369521308830745,0.06145808701323574,-0.38728741791565646,0.5459623884810458,0.11419319026794827,-0.07686647579703987,-0.0009652937336017686,-0.22629896150998352,-0.22927808811283334
MBURv2_10003,-0.4751203699730997,-0.1599997618633049,-0.3989193563871485,-0.15389067182457516,-0.3646312249204202,-0.5435179173914522,-0.4033392707007115,-1.1068841425487808,-1.1164208490778291,-0.9323484407204043,-0.9476650480376332,-1.0243585252982212,-0.7674294063576053,-0.8682869883751643,-0.8785831034085669,-0.8316914183743611,-0.6761258566915389,-0.7579633667033487,-0.7480371983914713,-1.1028353511935167,-0.9461634477419834,-1.1296838683768966,-0.8631704275769456,-0.9173995672598361,-0.9958452620185989,-0.827739070344852,-0.9085804594937512,-1.1172925717477904,-0.5442546944600606,-0.9771734771825118,-0.7375281642190936,-1.3911603983882879,-0.8351275984212121,-1.0396274336097617,-0.6629725371118491,-0.845406495101436,-1.2284973415041653,-1.1499690042822222,-1.464723828332322,-1.4120121363132743
MBURv2_10004,-0.8992565202898666,-0.8257761995457722,-0.2536366647298518,-0.2557467759447132,-0.25062928668193596,-0.2622780540844447,-0.2703486551303955,-1.4479064412651228,-1.4331206988918357,-1.5183879003246954,-1.7763598420779978,-0.8690593557410278,-0.9240902702998133,-0.6581361585457453,-0.837873065653306,-0.7725227469429683,-0.8228411187768261,-1.8125558349134856,-1.708895357708367,-1.7807734406705782,-1.7605058878704387,-1.6821188329834191,-1.696521670326618,-1.6277165090648111,-1.938692685099694,-2.0075630131373297,-1.5085210555716548,-1.3637994544048935,-1.9133976647994189,-1.67551777732141,-1.6610473263657672,-2.0253743611074713,-0.7131313349080264,-1.7827596554954983,-0.7685077681392123,-1.8238587144330696,-1.2274673508016232,-1.138404008685173,-1.6991210287114304,-1.4476509526014238
MBURv2_10005,0.09704485628394277,0.14282242118669686,0.6882137637495243,0.9573577009274015,0.7845901277873937,0.5458459511021712,0.7665102722128454,-0.34396830987845206,-0.3240913849655289,-0.4992259051650292,-0.6388757343128413,0.039684942080974395,0.3931828714503949,0.42691172592257054,0.1830312287944329,-0.036570767830940376,0.32734112014279493,-0.9413380030282563,-0.21664784184970376,-0.30417330526729014,-0.40122079250300047,-0.464789344446654,-0.2838627712727302,-0.15789817444546372,-0.11998107139931236,-0.9408788948019922,-0.9537992116502427,-0.38874581153512455,-0.5868716514282726,-0.7435328563435277,-0.7056224902449304,-0.40395767285240236,-0.4958767896216285,-0.4625705265770419,-0.4755153140956816,-0.2986079890028215,-0.2730239876071403,-0.47407611347334555,-0.733112525444668,-0.9051830102213456
MBURv2_10006,0.1836454745073519,0.7490784530207852,0.11890785824133943,0.4610103800979246,-0.2489722055849981,-0.27358180325600845,-0.06383690727969249,-0.07151062587785084,-0.5785583994222101,-0.36039930445798607,0.24771814611051113,-0.6093337876418614,-0.022278887511228085,-0.47763458296733585,-0.3184989065597277,-0.9812662800970697,-0.3943733049151579,0.7104295777324721,-0.043984624727881894,-0.527972547817984,-0.7491937575484444,0.23200581124401776,-0.6388285277392001,0.07043055338960613,0.14883568702848748,-0.45879357472113913,-0.15348028023976923,-0.38874581153512544,0.09145675560359123,0.5148922962376767,-0.10720095001504859,-0.5340978081888519,-0.10432655380106404,0.5882226637054098,0.1826866522294459,0.5977496778378057,-0.35699721052256006,-0.8637478065592896,-0.27937939759066754,-0.7033413860065094
MBURv2_10007,0.7153659539515296,0.4433875940715968,1.1440380969598554,1.3852568275503971,1.0328806677433198,1.0008991292288947,1.1270230737534375,0.2311981732981172,-0.12850311113782187,-0.023580962870390465,0.694877795971311,0.1946353195763617,0.2738665728251366,0.336801065160925,0.08900492003370974,0.3405311299728764,0.4682640526436366,-0.23428798676633722,-0.05827666533653453,-0.5083140220475153,-0.8990257519518661,0.21047264969437673,-0.8653639737512195,0.01718853211262772,0.12611561052840514,-1.0381044076657058,-0.7599759425105654,-1.3362783916409886,-0.9300764059460493,-0.29718749968301417,-1.1547293200976338,-0.8331649452674013,-1.0417540823693963,-0.5659482664223496,-0.5438136414958925,-0.5675189611732838,-0.48618808503283706,-0.45423115084145493,-1.0367889157758077,-0.6963053953593792
MBURv2_10008,-0.27449203562785707,0.10740815544264759,0.539097304113775,0.5240443014912826,0.2602740742516776,0.29451920483417826,0.23578008317539378,-1.207519710577309,-1.4469449026041739,-1.030639451861226,-0.9969999086663579,-0.4351814169290553,-0.5123650576667145,-0.41300283433452156,-0.550944992560098,-0.3061558375125508,-0.36411489309644507,-0.4110993737938906,-0.6720364303651265,-1.0044672558108165,-1.0766043259376148,-0.5654040408900602,-1.0444595610851182,-0.6870728969808733,-0.8578589655455207,-1.1317635148799514,-0.8855068245944255,-0.8459527650579086,-0.9073563294459666,-0.44774717625839644,-0.6666283586290676,-1.555630969738493,-1.0074460315941018,-1.270209695515851,-0.8377593238573748,-0.9092103108820768,-1.096437027364853,-0.9050442229303601,-1.099035070358592,-1.2045421054377075
